ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);108;112
ישוע;(2, [10, 300, 6, 70], 386);2926;2620
משיחי;(3, [40, 300, 10, 8, 10], 368);194;150
